,web_url,pub_date,document_type,news_desk,section_name,type_of_material,main_headline,print_headline,by
98,https://www.nytimes.com/2020/01/01/world/asia/india-cold-pollution.html,2020-01-02T04:28:23+0000,article,Foreign,World,News,"India Cold Wave Breaks Records, Shuts Schools and Makes Bad Air Worse",India Shivers and Gags In a Foul-Air Cold Wave,Hari Kumar and Sameer Yasir
99,https://www.nytimes.com/2020/01/01/todayspaper/quotation-of-the-day-pika-who-how-canadas-military-reacted-to-a-pokemon-go-invasion.html,2020-01-02T04:49:31+0000,article,Summary,Today’s Paper,Quote,Quotation of the Day: Pika-Who? How Canada’s Military Reacted to a Pokémon Go Invasion,Quote of the Day,
100,https://www.nytimes.com/2020/01/02/world/europe/austria-kurz-greens-coalition-government.html,2020-01-02T05:01:07+0000,article,Foreign,World,News,Head-Scarf Ban and Carbon Taxes: Austria Gets an Unlikely Government,Austria’s Kurz to Govern With Green Party in Unlikely Pairing,Christopher F. Schuetze and Katrin Bennhold
101,https://www.nytimes.com/2020/01/02/briefing/austria-australia-fires-2020.html,2020-01-02T05:24:18+0000,article,NYTNow,Briefing,briefing,Your Thursday Briefing,,Mike Ives
102,https://www.nytimes.com/2020/01/02/arts/television/whats-on-tv-thursday-surviving-r-kelly-part-ii.html,2020-01-02T06:00:06+0000,article,Culture,Arts,News,What’s on TV Thursday: ‘Breakthrough’ and ‘Surviving R. Kelly Part II’,What’s On Thursday,Gabe Cohn
103,https://www.nytimes.com/2020/01/02/learning/word-quiz-subsume.html,2020-01-02T07:00:01+0000,article,Learning,The Learning Network,News,Word + Quiz: subsume,,The Learning Network
104,https://www.nytimes.com/2020/01/02/world/asia/taiwan-military-chief-helicopter-crash.html,2020-01-02T07:29:48+0000,article,Foreign,World,News,Taiwan’s Top Military Official and 7 Others Die in Helicopter Crash,Chief of Armed Forces Dies In Taiwan Helicopter Crash,Austin Ramzy
105,https://www.nytimes.com/2020/01/02/learning/new-year-new-you.html,2020-01-02T08:00:02+0000,article,Learning,The Learning Network,News,"New Year, New You?",,The Learning Network
106,https://www.nytimes.com/2020/01/02/arts/television/surviving-r-kelly-2.html,2020-01-02T08:00:07+0000,article,Culture,Arts,News,‘Surviving R. Kelly’ Night One Recap: Threats and New Abuse Details,Revisiting the Case Against R. Kelly,Elizabeth A. Harris and Jacey Fortin
107,https://www.nytimes.com/2020/01/02/sports/basketball/david-stern-nba.html,2020-01-02T08:00:07+0000,article,Sports,Sports,News,How David Stern Navigated Race in the N.B.A.,The Guardian of the N.B.A.,Harvey Araton
108,https://www.nytimes.com/2020/01/02/world/asia/indonesia-jakarta-rain-floods.html,2020-01-02T08:01:46+0000,article,Foreign,World,News,Flash Floods in Indonesia Leave Hundreds of Thousands Homeless,Floods Kill 30 in Jakarta as Over a Foot of Rain Falls,Muktita Suhartono and Russell Goldman
109,https://www.nytimes.com/2020/01/02/learning/lesson-of-the-day-the-machines-are-learning-and-so-are-the-students.html,2020-01-02T09:00:05+0000,article,Learning,The Learning Network,News,"Lesson of the Day: ‘The Machines Are Learning, and So Are the Students’",,Jeremy Engle
